Entity,Code,Year,"Indicator:Alcohol, consumption of pure alcohol by type of beverage (%) - Beverage Types:Beer (% of total alcohol consumption)"
Albania,ALB,2010,31.8
Algeria,DZA,2010,62.6
Andorra,AND,2010,34.6
Angola,AGO,2010,64.3
Antigua and Barbuda,ATG,2010,36.4
Argentina,ARG,2010,40.7
Armenia,ARM,2010,9.7
Australia,AUS,2010,44
Austria,AUT,2010,50.4
Azerbaijan,AZE,2010,28.7
Bahamas,BHS,2010,34
Bahrain,BHR,2010,36.6
Barbados,BRB,2010,39.7
Belarus,BLR,2010,17.3
Belgium,BEL,2010,49.2
Belize,BLZ,2010,67.6
Benin,BEN,2010,54.6
Bhutan,BTN,2010,100
Bolivia,BOL,2010,76.8
Bosnia and Herzegovina,BIH,2010,29.1
Botswana,BWA,2010,56
Brazil,BRA,2010,59.6
Brunei,BRN,2010,89.8
Bulgaria,BGR,2010,39.3
Burkina Faso,BFA,2010,10
Burundi,BDI,2010,24.5
Cambodia,KHM,2010,45.7
Cameroon,CMR,2010,44.4
Canada,CAN,2010,51.2
Cape Verde,CPV,2010,63
Central African Republic,CAF,2010,16.2
Chad,TCD,2010,66.3
Chile,CHL,2010,29.9
China,CHN,2010,27.8
Colombia,COL,2010,66.1
Comoros,COM,2010,23.3
Congo,COG,2010,78.4
Cook Islands,COK,2010,0
Costa Rica,CRI,2010,59.3
Cote d'Ivoire,CIV,2010,16.1
Croatia,HRV,2010,39.5
Cuba,CUB,2010,38.8
Cyprus,CYP,2010,40.9
Czech Republic,CZE,2010,53.5
Democratic Republic of Congo,COD,2010,24
Denmark,DNK,2010,37.7
Djibouti,DJI,2010,23.2
Dominica,DMA,2010,13.7
Dominican Republic,DOM,2010,54.5
Ecuador,ECU,2010,67.3
Egypt,EGY,2010,53.8
El Salvador,SLV,2010,41.7
Equatorial Guinea,GNQ,2010,27.8
Eritrea,ERI,2010,63.6
Estonia,EST,2010,41.2
Ethiopia,ETH,2010,49.7
Fiji,FJI,2010,67.7
Finland,FIN,2010,46
France,FRA,2010,18.8
Gabon,GAB,2010,68.3
Gambia,GMB,2010,5.6
Georgia,GEO,2010,17
Germany,DEU,2010,53.6
Ghana,GHA,2010,30
Greece,GRC,2010,28.1
Grenada,GRD,2010,29.3
Guatemala,GTM,2010,41.9
Guinea,GIN,2010,78.9
Guinea-Bissau,GNB,2010,19.6
Guyana,GUY,2010,23
Haiti,HTI,2010,0.2
Honduras,HND,2010,40.1
Hungary,HUN,2010,36.3
Iceland,ISL,2010,61.8
India,IND,2010,6.8
Indonesia,IDN,2010,84.5
Iraq,IRQ,2010,76.1
Ireland,IRL,2010,48.1
Israel,ISR,2010,44
Italy,ITA,2010,23
Jamaica,JAM,2010,42
Japan,JPN,2010,19.2
Jordan,JOR,2010,22.4
Kazakhstan,KAZ,2010,31.8
Kenya,KEN,2010,56.1
Kiribati,KIR,2010,36.9
Kuwait,KWT,2010,58.1
Kyrgyzstan,KGZ,2010,22.6
Laos,LAO,2010,35.6
Latvia,LVA,2010,46.9
Lebanon,LBN,2010,18.2
Lesotho,LSO,2010,51.3
Liberia,LBR,2010,10.8
Lithuania,LTU,2010,46.5
Luxembourg,LUX,2010,36.2
Macedonia,MKD,2010,47.4
Madagascar,MDG,2010,56
Malawi,MWI,2010,9.1
Malaysia,MYS,2010,76.2
Mali,MLI,2010,13.3
Malta,MLT,2010,39.4
Mauritius,MUS,2010,66.2
Mexico,MEX,2010,75.7
Micronesia (country),FSM,2010,47
Moldova,MDA,2010,30.4
Mongolia,MNG,2010,27.6
Montenegro,MNE,2010,10.9
Morocco,MAR,2010,43.5
Mozambique,MOZ,2010,63
Myanmar,MMR,2010,82.6
Namibia,NAM,2010,96.7
Nauru,NRU,2010,85.4
Nepal,NPL,2010,47.7
Netherlands,NLD,2010,46.8
New Zealand,NZL,2010,38.2
Nicaragua,NIC,2010,38.8
Niger,NER,2010,46
Nigeria,NGA,2010,8
Niue,NIU,2010,47
Norway,NOR,2010,44.2
Oman,OMN,2010,54.6
Palau,PLW,2010,77.7
Panama,PAN,2010,69.2
Papua New Guinea,PNG,2010,51.3
Paraguay,PRY,2010,51.1
Peru,PER,2010,46.8
Philippines,PHL,2010,26.9
Poland,POL,2010,55.1
Portugal,PRT,2010,30.8
Qatar,QAT,2010,1.2
Romania,ROU,2010,50
Russia,RUS,2010,37.6
Rwanda,RWA,2010,11.1
Saint Kitts and Nevis,KNA,2010,44
Saint Lucia,LCA,2010,29.7
Saint Vincent and the Grenadines,VCT,2010,33.4
Samoa,WSM,2010,70.9
Sao Tome and Principe,STP,2010,23.5
Saudi Arabia,SAU,2010,0
Senegal,SEN,2010,55.1
Serbia,SRB,2010,51.5
Seychelles,SYC,2010,67
Sierra Leone,SLE,2010,6.4
Singapore,SGP,2010,70.1
Slovakia,SVK,2010,30.1
Slovenia,SVN,2010,44.5
Solomon Islands,SLB,2010,81.1
South Africa,ZAF,2010,48.1
South Korea,KOR,2010,25
Spain,ESP,2010,49.7
Sri Lanka,LKA,2010,13
Sudan,SDN,2010,8
Suriname,SUR,2010,40
Swaziland,SWZ,2010,33.6
Sweden,SWE,2010,37
Switzerland,CHE,2010,31.8
Syria,SYR,2010,8.5
Tajikistan,TJK,2010,10.2
Tanzania,TZA,2010,11
Thailand,THA,2010,27
Timor,TLS,2010,9.3
Togo,TGO,2010,48.9
Tonga,TON,2010,57.9
Trinidad and Tobago,TTO,2010,54
Tunisia,TUN,2010,68.6
Turkey,TUR,2010,63.6
Turkmenistan,TKM,2010,15.4
Tuvalu,TUV,2010,10
Uganda,UGA,2010,9.4
Ukraine,UKR,2010,40.5
United Arab Emirates,ARE,2010,10.3
United Kingdom,GBR,2010,36.9
United States,USA,2010,50
Uruguay,URY,2010,30.6
Uzbekistan,UZB,2010,18.3
Vanuatu,VUT,2010,40.5
Venezuela,VEN,2010,75.6
Vietnam,VNM,2010,97.3
Yemen,YEM,2010,100
Zambia,ZMB,2010,22.7
Zimbabwe,ZWE,2010,23.7
