Entity,Code,Year,,"Indicator:Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol) - Beverage Types:Beer (litres of pure alcohol)"
Afghanistan,AFG,1961,Afghanistan_1961,0
Afghanistan,AFG,1962,Afghanistan_1962,0
Afghanistan,AFG,1963,Afghanistan_1963,0
Afghanistan,AFG,1964,Afghanistan_1964,0
Afghanistan,AFG,1965,Afghanistan_1965,0
Afghanistan,AFG,1966,Afghanistan_1966,0
Afghanistan,AFG,1967,Afghanistan_1967,0
Afghanistan,AFG,1968,Afghanistan_1968,0
Afghanistan,AFG,1969,Afghanistan_1969,0
Afghanistan,AFG,1970,Afghanistan_1970,0
Afghanistan,AFG,1971,Afghanistan_1971,0
Afghanistan,AFG,1972,Afghanistan_1972,0
Afghanistan,AFG,1973,Afghanistan_1973,0
Afghanistan,AFG,1974,Afghanistan_1974,0
Afghanistan,AFG,1975,Afghanistan_1975,0
Afghanistan,AFG,1976,Afghanistan_1976,0
Afghanistan,AFG,1977,Afghanistan_1977,0
Afghanistan,AFG,1978,Afghanistan_1978,0
Afghanistan,AFG,1979,Afghanistan_1979,0
Afghanistan,AFG,1980,Afghanistan_1980,0
Afghanistan,AFG,1981,Afghanistan_1981,0
Afghanistan,AFG,1982,Afghanistan_1982,0
Afghanistan,AFG,1983,Afghanistan_1983,0
Afghanistan,AFG,1984,Afghanistan_1984,0
Afghanistan,AFG,1985,Afghanistan_1985,0
Afghanistan,AFG,1986,Afghanistan_1986,0
Afghanistan,AFG,1987,Afghanistan_1987,0
Afghanistan,AFG,1988,Afghanistan_1988,0
Afghanistan,AFG,1989,Afghanistan_1989,0
Afghanistan,AFG,1990,Afghanistan_1990,0
Afghanistan,AFG,1991,Afghanistan_1991,0
Afghanistan,AFG,1992,Afghanistan_1992,0
Afghanistan,AFG,1993,Afghanistan_1993,0
Afghanistan,AFG,1994,Afghanistan_1994,0
Afghanistan,AFG,1995,Afghanistan_1995,0
Afghanistan,AFG,1996,Afghanistan_1996,0
Afghanistan,AFG,1997,Afghanistan_1997,0
Afghanistan,AFG,1998,Afghanistan_1998,0
Afghanistan,AFG,1999,Afghanistan_1999,0
Afghanistan,AFG,2000,Afghanistan_2000,0
Afghanistan,AFG,2001,Afghanistan_2001,0
Afghanistan,AFG,2002,Afghanistan_2002,0
Afghanistan,AFG,2003,Afghanistan_2003,0
Afghanistan,AFG,2004,Afghanistan_2004,0.02
Afghanistan,AFG,2005,Afghanistan_2005,0.01
Afghanistan,AFG,2006,Afghanistan_2006,0.01
Afghanistan,AFG,2007,Afghanistan_2007,0.01
Afghanistan,AFG,2008,Afghanistan_2008,0.01
Afghanistan,AFG,2009,Afghanistan_2009,0.01
Afghanistan,AFG,2010,Afghanistan_2010,0.01
Afghanistan,AFG,2011,Afghanistan_2011,0.01
Afghanistan,AFG,2012,Afghanistan_2012,0.01
Afghanistan,AFG,2013,Afghanistan_2013,0.01
Albania,ALB,1962,Albania_1962,0.49
Albania,ALB,1963,Albania_1963,0.52
Albania,ALB,1964,Albania_1964,0.52
Albania,ALB,1965,Albania_1965,0.5
Albania,ALB,1966,Albania_1966,0.51
Albania,ALB,1967,Albania_1967,0.49
Albania,ALB,1968,Albania_1968,0.53
Albania,ALB,1969,Albania_1969,0.54
Albania,ALB,1970,Albania_1970,0.47
Albania,ALB,1971,Albania_1971,0.48
Albania,ALB,1972,Albania_1972,0.52
Albania,ALB,1973,Albania_1973,0.53
Albania,ALB,1974,Albania_1974,0.52
Albania,ALB,1975,Albania_1975,0.52
Albania,ALB,1976,Albania_1976,0.5
Albania,ALB,1977,Albania_1977,0.46
Albania,ALB,1978,Albania_1978,0.5
Albania,ALB,1979,Albania_1979,0.48
Albania,ALB,1980,Albania_1980,0.44
Albania,ALB,1981,Albania_1981,0.46
Albania,ALB,1982,Albania_1982,0.45
Albania,ALB,1983,Albania_1983,0.45
Albania,ALB,1984,Albania_1984,0.43
Albania,ALB,1985,Albania_1985,0.51
Albania,ALB,1986,Albania_1986,0.57
Albania,ALB,1987,Albania_1987,0.58
Albania,ALB,1988,Albania_1988,0.56
Albania,ALB,1989,Albania_1989,0.52
Albania,ALB,1990,Albania_1990,0.42
Albania,ALB,1991,Albania_1991,0.18
Albania,ALB,1992,Albania_1992,0.09
Albania,ALB,1993,Albania_1993,0.52
Albania,ALB,1994,Albania_1994,1.27
Albania,ALB,1995,Albania_1995,1.01
Albania,ALB,1996,Albania_1996,0.59
Albania,ALB,1997,Albania_1997,0.48
Albania,ALB,1998,Albania_1998,0.46
Albania,ALB,1999,Albania_1999,0.83
Albania,ALB,2000,Albania_2000,1.26
Albania,ALB,2001,Albania_2001,1.42
Albania,ALB,2002,Albania_2002,1.23
Albania,ALB,2003,Albania_2003,1.39
Albania,ALB,2004,Albania_2004,1.33
Albania,ALB,2005,Albania_2005,1.59
Albania,ALB,2006,Albania_2006,1.73
Albania,ALB,2007,Albania_2007,1.86
Albania,ALB,2008,Albania_2008,2.03
Albania,ALB,2009,Albania_2009,2.08
Albania,ALB,2010,Albania_2010,1.61
Albania,ALB,2011,Albania_2011,1.76
Albania,ALB,2012,Albania_2012,1.68
Albania,ALB,2013,Albania_2013,1.68
Albania,ALB,2014,Albania_2014,1.45
Algeria,DZA,1961,Algeria_1961,0.67
Algeria,DZA,1962,Algeria_1962,0.51
Algeria,DZA,1963,Algeria_1963,0.33
Algeria,DZA,1964,Algeria_1964,0.26
Algeria,DZA,1965,Algeria_1965,0.27
Algeria,DZA,1966,Algeria_1966,0.29
Algeria,DZA,1967,Algeria_1967,0.33
Algeria,DZA,1968,Algeria_1968,0.34
Algeria,DZA,1969,Algeria_1969,0.36
Algeria,DZA,1970,Algeria_1970,0.38
Algeria,DZA,1971,Algeria_1971,0.38
Algeria,DZA,1972,Algeria_1972,0.38
Algeria,DZA,1973,Algeria_1973,0.41
Algeria,DZA,1974,Algeria_1974,0.35
Algeria,DZA,1975,Algeria_1975,0.22
Algeria,DZA,1976,Algeria_1976,0.31
Algeria,DZA,1977,Algeria_1977,0.31
Algeria,DZA,1978,Algeria_1978,0.29
Algeria,DZA,1979,Algeria_1979,0.27
Algeria,DZA,1980,Algeria_1980,0.27
Algeria,DZA,1981,Algeria_1981,0.27
Algeria,DZA,1982,Algeria_1982,0.27
Algeria,DZA,1983,Algeria_1983,0.19
Algeria,DZA,1984,Algeria_1984,0.2
Algeria,DZA,1985,Algeria_1985,0.19
Algeria,DZA,1986,Algeria_1986,0.18
Algeria,DZA,1987,Algeria_1987,0.17
Algeria,DZA,1988,Algeria_1988,0.17
Algeria,DZA,1989,Algeria_1989,0.16
Algeria,DZA,1990,Algeria_1990,0.18
Algeria,DZA,1991,Algeria_1991,0.17
Algeria,DZA,1992,Algeria_1992,0.19
Algeria,DZA,1993,Algeria_1993,0.23
Algeria,DZA,1994,Algeria_1994,0.24
Algeria,DZA,1995,Algeria_1995,0.28
Algeria,DZA,1996,Algeria_1996,0.28
Algeria,DZA,1997,Algeria_1997,0.27
Algeria,DZA,1998,Algeria_1998,0.26
Algeria,DZA,1999,Algeria_1999,0.22
Algeria,DZA,2000,Algeria_2000,0.12
Algeria,DZA,2001,Algeria_2001,0.1
Algeria,DZA,2002,Algeria_2002,0.17
Algeria,DZA,2003,Algeria_2003,0.2
Algeria,DZA,2004,Algeria_2004,0.24
Algeria,DZA,2005,Algeria_2005,0.29
Algeria,DZA,2006,Algeria_2006,0.17
Algeria,DZA,2007,Algeria_2007,0.16
Algeria,DZA,2008,Algeria_2008,0.2
Algeria,DZA,2009,Algeria_2009,0.2
Algeria,DZA,2010,Algeria_2010,0.17
