Entity,Code,Year,spirits,beer,wine,total_consumpssion_2015
Albania,ALB,2014,1.85,1.45,1.14,6.6
Angola,AGO,2014,1.47,5.48,1.32,7.6
Antigua and Barbuda,ATG,2014,3.7,2.72,1.87,3.2
Argentina,ARG,2014,0.56,3.36,3.22,7.6
Armenia,ARM,2014,3.25,0.51,0.13,5.5
Australia,AUS,2014,1.23,4.01,3.64,12.6
Austria,AUT,2014,1.7,6.25,4.37,8.5
Bahamas,BHS,2014,3.96,3.53,1.6,4.2
Bahrain,BHR,2014,1.04,0.38,0.13,2.4
Barbados,BRB,2014,4.39,3.42,0.83,6.5
Belarus,BLR,2014,5.97,3.01,0.37,17.1
Belgium,BEL,2014,1.8,6.21,4.53,10.8
Belize,BLZ,2014,1.89,4.34,0.2,8.3
Bolivia,BOL,2014,0.82,2.73,0.03,5.8
Bosnia and Herzegovina,BIH,2014,0.54,3.2,0.15,7.5
Brazil,BRA,2014,2.39,4.64,0.27,9.1
Bulgaria,BGR,2014,4.78,4.31,2.87,11.3
Canada,CAN,2014,2,3.8,2,10.3
Chile,CHL,2014,1.63,2.65,2.65,9.3
China,CHN,2014,3.72,1.88,0.17,7.6
Colombia,COL,2014,1.28,3.03,0.05,6.6
Costa Rica,CRI,2014,0.95,2.2,0.27,5.1
Croatia,HRV,2014,1.31,4.23,6.25,11.7
Cuba,CUB,2014,2.52,1.74,0.09,5.5
Czech Republic,CZE,2014,3.16,6.93,2.6,14.1
Denmark,DNK,2014,1.6,3.61,4.35,10.2
Djibouti,DJI,2014,0.22,0.12,0.03,0.9
Dominican Republic,DOM,2014,2.29,3.35,0.22,7.6
Ecuador,ECU,2014,0.74,2.99,0.06,6.1
Egypt,EGY,2014,0.07,0.14,0,0.3
El Salvador,SLV,2014,1.32,1.16,0.04,3.5
Finland,FIN,2014,1.94,4.22,1.67,11.9
France,FRA,2014,2.5,2.3,6.4,11.6
Georgia,GEO,2014,2.11,1.51,2.5,6.7
Germany,DEU,2014,2.07,5.86,3.1,10.6
Greece,GRC,2014,1.48,2.07,3.92,9.3
Grenada,GRD,2014,3.94,3.59,0.59,10.4
Guatemala,GTM,2014,0.84,0.99,0.04,3.9
Guyana,GUY,2014,5.66,1.92,0.02,8.6
Honduras,HND,2014,1.37,1.46,0.03,4
Iceland,ISL,2014,0.72,4.59,2.03,6.9
India,IND,2014,2.86,0.21,0,4.6
Indonesia,IDN,2014,0.01,0.07,0,0.6
Ireland,IRL,2014,1.97,5.13,2.8,10.9
Israel,ISR,2014,1.07,1.34,0.17,3.1
Italy,ITA,2014,0.86,1.73,4.97,6.1
Jamaica,JAM,2014,1.93,1.42,0.16,5.1
Jordan,JOR,2014,0.33,0.06,0.01,0.7
Kazakhstan,KAZ,2014,4.07,1.87,0.35,8.2
Lebanon,LBN,2014,0.74,0.39,0.16,2.2
Lithuania,LTU,2014,5.79,5.46,1.5,16.2
